tier,outreach_priority,score,name,category,zone,postcode,address,meters_from_zone_center,lat,lng,source,why_fit,notes,place_id,district
B,next,70,Sessa,Cafe,Herne Hill,SE24 0JT,222 Railton Road,24,51.4529,-0.1023,research,All-day cafe/bar — daily specials potential,southlondonguide,,SE24
B,next,65,ALL ROADS BRIXTON,Specialty food,Brixton,SW9 8JN,"44 Atlantic Rd, London",16,51.462154899999994,-0.1125071,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,La Taberna Del Sabor,Specialty food,Brixton,SW9 8JL,"47 Atlantic Rd, London",34,51.4622666,-0.1120141,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,Cantinho Mineiro,Specialty food,Brixton,SW9 8PS,"Granville Arcade, Coldharbour Ln, London",48,51.462365,-0.11180989999999999,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,Danclair's Kitchen,Specialty food,Brixton,SW9 8PS,"67-68, Granville Arcade, Coldharbour Ln, London",52,51.462493099999996,-0.11181350000000001,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,Herne Hill Foods,Specialty food,Herne Hill,SE24 0JT,"240 Railton Rd, London",56,51.4524991,-0.1018954,wave1_pins,Named limited specialty stock,,,SE24
B,next,65,Llewelyn's,Specialty food,Herne Hill,SE24 0JP,"293-295 Railton Rd, London",61,51.453288199999996,-0.10274119999999999,wave1_pins,Named limited specialty stock,,,SE24
B,next,65,La Nonna (Pasta fresca),Specialty food,Brixton,SW9 8LB,"7 Market Row, London",63,51.4620251,-0.1133031,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,OKAN Brixton Village,Specialty food,Brixton,SW9 8PS,"39, Brixton Village, Coldharbour Ln, London",64,51.462564099999994,-0.11167149999999999,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,Sarava Creperie Bar & Cafe,Specialty food,Brixton,SW9 8PS,"41-42, Market, Brixton Village, Coldharbour Ln, London",64,51.462469899999995,-0.11161639999999999,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,Arepa & Co Venezuelan Restaurant Brixton,Specialty food,Brixton,SW9 8LD,"14B, C, Market Row, London",75,51.4618426,-0.11329149999999999,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,COLIBRI RESTAURANT & BAR,Specialty food,Brixton,SW9 8LF,"426 Coldharbour Ln, London",125,51.461625,-0.1139457,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,Brixton Spritz,Specialty food,Brixton,SW9 8QQ,"21 Brixton Station Rd, London",135,51.4633798,-0.11339800000000001,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,Kalandula Brixton,Specialty food,Brixton,SW9 8PA,"5 Brixton Station Rd, London",176,51.4635064,-0.1141441,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,OKAN Brixton East,Specialty food,Brixton,SW9 8QH,"338 Coldharbour Ln, London",278,51.462892599999996,-0.10860629999999999,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,Whole Beast,Specialty food,Brixton,SW9 8QH,"336 Coldharbour Ln, London",283,51.462927,-0.1085376,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,Maureen's Brixton Kitchen,Specialty food,Brixton,SE24 0LF,"52 Railton Rd, London",431,51.458850299999995,-0.1096509,wave1_pins,Named limited specialty stock,,,SW9
B,next,65,West 16th,Specialty food,Herne Hill,SE24 9JY,"137 Half Moon Ln, London",576,51.453338599999995,-0.09370189999999999,wave1_pins,Named limited specialty stock,,,SE24
B,next,65,Kai Hung,Specialty food,Herne Hill,SE24 0LD,"88 Railton Rd, London",609,51.457279,-0.107482,wave1_pins,Named limited specialty stock,,,SE24
